label,mean,std,median,n,noise_condition
fixed,0.6986681938736701,0.054960225499818306,0.6824273003472222,42,ALL
random,0.6818641009793587,0.03489418514567149,0.6814891673900463,42,ALL
oracle,0.7314456581614234,0.05943107678790268,0.7089686239919355,42,ALL
fixed,0.7199384291165043,0.06855839406694375,0.6868504549808429,14,N0
random,0.6961945145281981,0.04359179074748057,0.6861165364583333,14,N0
oracle,0.7623921931126245,0.07126061304503883,0.7409386200716845,14,N0
fixed,0.7010062016956589,0.05051687209165536,0.6853111530172413,14,N1
random,0.6975797675222937,0.05503163935860464,0.6912871418023627,14,N1
oracle,0.731915046452546,0.050900418724511544,0.7221102150537634,14,N1
fixed,0.675059950808847,0.03436640169335956,0.678796246408046,14,N2
random,0.6722431172366629,0.02287590039929816,0.676487128509558,14,N2
oracle,0.7000297349190997,0.03709649523788216,0.699249057112069,14,N2
