graph_id,num_nodes,num_edges,graph_family,graph_seed,density
G0001,10,12,erdos_renyi,10000,0.26666666666666666
G0002,10,14,erdos_renyi,10001,0.3111111111111111
G0003,10,15,erdos_renyi,10002,0.3333333333333333
G0004,10,16,erdos_renyi,10003,0.35555555555555557
G0005,10,12,erdos_renyi,10004,0.26666666666666666
G0006,10,14,erdos_renyi,10005,0.3111111111111111
G0007,10,16,erdos_renyi,10006,0.35555555555555557
G0008,10,15,erdos_renyi,10007,0.3333333333333333
G0009,10,17,erdos_renyi,10008,0.37777777777777777
G0010,10,15,erdos_renyi,10009,0.3333333333333333
G0011,12,25,erdos_renyi,10010,0.3787878787878788
G0012,12,22,erdos_renyi,10011,0.3333333333333333
G0013,12,26,erdos_renyi,10012,0.3939393939393939
G0014,12,22,erdos_renyi,10013,0.3333333333333333
G0015,12,23,erdos_renyi,10014,0.3484848484848485
G0016,12,24,erdos_renyi,10015,0.36363636363636365
G0017,12,24,erdos_renyi,10016,0.36363636363636365
G0018,12,20,erdos_renyi,10017,0.30303030303030304
G0019,12,25,erdos_renyi,10018,0.3787878787878788
G0020,12,27,erdos_renyi,10019,0.4090909090909091
G0021,15,39,erdos_renyi,10020,0.37142857142857144
G0022,15,32,erdos_renyi,10021,0.3047619047619048
G0023,15,30,erdos_renyi,10022,0.2857142857142857
G0024,15,35,erdos_renyi,10023,0.3333333333333333
G0025,15,34,erdos_renyi,10024,0.3238095238095238
G0026,15,37,erdos_renyi,10025,0.3523809523809524
G0027,15,35,erdos_renyi,10026,0.3333333333333333
G0028,15,40,erdos_renyi,10027,0.38095238095238093
G0029,15,40,erdos_renyi,10028,0.38095238095238093
G0030,15,37,erdos_renyi,10029,0.3523809523809524
G0031,18,59,erdos_renyi,10030,0.38562091503267976
G0032,18,60,erdos_renyi,10031,0.39215686274509803
G0033,18,54,erdos_renyi,10032,0.35294117647058826
G0034,18,46,erdos_renyi,10033,0.3006535947712418
G0035,18,50,erdos_renyi,10034,0.32679738562091504
G0036,18,60,erdos_renyi,10035,0.39215686274509803
G0037,18,49,erdos_renyi,10036,0.3202614379084967
G0038,18,53,erdos_renyi,10037,0.3464052287581699
G0039,18,52,erdos_renyi,10038,0.33986928104575165
G0040,18,65,erdos_renyi,10039,0.42483660130718953
G0041,20,68,erdos_renyi,10040,0.35789473684210527
G0042,20,64,erdos_renyi,10041,0.3368421052631579
G0043,20,62,erdos_renyi,10042,0.3263157894736842
G0044,20,85,erdos_renyi,10043,0.4473684210526316
G0045,20,56,erdos_renyi,10044,0.29473684210526313
G0046,20,61,erdos_renyi,10045,0.32105263157894737
G0047,20,68,erdos_renyi,10046,0.35789473684210527
G0048,20,73,erdos_renyi,10047,0.38421052631578945
G0049,20,61,erdos_renyi,10048,0.32105263157894737
G0050,20,55,erdos_renyi,10049,0.2894736842105263
G0051,10,20,random_regular,10050,0.4444444444444444
G0052,10,20,random_regular,10051,0.4444444444444444
G0053,10,20,random_regular,10052,0.4444444444444444
G0054,10,20,random_regular,10053,0.4444444444444444
G0055,10,20,random_regular,10054,0.4444444444444444
G0056,10,20,random_regular,10055,0.4444444444444444
G0057,10,20,random_regular,10056,0.4444444444444444
G0058,10,20,random_regular,10057,0.4444444444444444
G0059,10,20,random_regular,10058,0.4444444444444444
G0060,10,20,random_regular,10059,0.4444444444444444
G0061,12,24,random_regular,10060,0.36363636363636365
G0062,12,24,random_regular,10061,0.36363636363636365
G0063,12,24,random_regular,10062,0.36363636363636365
G0064,12,24,random_regular,10063,0.36363636363636365
G0065,12,24,random_regular,10064,0.36363636363636365
G0066,12,24,random_regular,10065,0.36363636363636365
G0067,12,24,random_regular,10066,0.36363636363636365
G0068,12,24,random_regular,10067,0.36363636363636365
G0069,12,24,random_regular,10068,0.36363636363636365
G0070,12,24,random_regular,10069,0.36363636363636365
G0071,15,30,random_regular,10070,0.2857142857142857
G0072,15,30,random_regular,10071,0.2857142857142857
G0073,15,30,random_regular,10072,0.2857142857142857
G0074,15,30,random_regular,10073,0.2857142857142857
G0075,15,30,random_regular,10074,0.2857142857142857
G0076,15,30,random_regular,10075,0.2857142857142857
G0077,15,30,random_regular,10076,0.2857142857142857
G0078,15,30,random_regular,10077,0.2857142857142857
G0079,15,30,random_regular,10078,0.2857142857142857
G0080,15,30,random_regular,10079,0.2857142857142857
G0081,18,36,random_regular,10080,0.23529411764705882
G0082,18,36,random_regular,10081,0.23529411764705882
G0083,18,36,random_regular,10082,0.23529411764705882
G0084,18,36,random_regular,10083,0.23529411764705882
G0085,18,36,random_regular,10084,0.23529411764705882
G0086,18,36,random_regular,10085,0.23529411764705882
G0087,18,36,random_regular,10086,0.23529411764705882
G0088,18,36,random_regular,10087,0.23529411764705882
G0089,18,36,random_regular,10088,0.23529411764705882
G0090,18,36,random_regular,10089,0.23529411764705882
G0091,20,40,random_regular,10090,0.21052631578947367
G0092,20,40,random_regular,10091,0.21052631578947367
G0093,20,40,random_regular,10092,0.21052631578947367
G0094,20,40,random_regular,10093,0.21052631578947367
G0095,20,40,random_regular,10094,0.21052631578947367
G0096,20,40,random_regular,10095,0.21052631578947367
G0097,20,40,random_regular,10096,0.21052631578947367
G0098,20,40,random_regular,10097,0.21052631578947367
G0099,20,40,random_regular,10098,0.21052631578947367
G0100,20,40,random_regular,10099,0.21052631578947367
