graph_id,config_id,noise_condition,run_seed,depth,optimizer,shots,expected_approximation_ratio
G0001,C01,N0,1000,1,COBYLA,256,0.619140625
G0001,C01,N0,1001,1,COBYLA,256,0.63984375
G0001,C02,N0,1000,1,COBYLA,512,0.659765625
G0001,C02,N0,1001,1,COBYLA,512,0.6373046875
G0001,C03,N0,1000,1,SPSA,256,0.6296875
G0001,C03,N0,1001,1,SPSA,256,0.64296875
G0001,C04,N0,1000,1,SPSA,512,0.642578125
G0001,C04,N0,1001,1,SPSA,512,0.632421875
G0001,C05,N0,1000,2,COBYLA,256,0.660546875
G0001,C05,N0,1001,2,COBYLA,256,0.687890625
G0001,C06,N0,1000,2,COBYLA,512,0.6435546875
G0001,C06,N0,1001,2,COBYLA,512,0.6279296875
G0001,C07,N0,1000,2,SPSA,256,0.776171875
G0001,C07,N0,1001,2,SPSA,256,0.632421875
G0001,C08,N0,1000,2,SPSA,512,0.6939453125
G0001,C08,N0,1001,2,SPSA,512,0.6408203125
G0001,C09,N0,1000,3,COBYLA,256,0.674609375
G0001,C09,N0,1001,3,COBYLA,256,0.619140625
G0001,C10,N0,1000,3,COBYLA,512,0.639453125
G0001,C10,N0,1001,3,COBYLA,512,0.6216796875
G0001,C11,N0,1000,3,SPSA,256,0.78828125
G0001,C11,N0,1001,3,SPSA,256,0.648046875
G0001,C12,N0,1000,3,SPSA,512,0.7931640625
G0001,C12,N0,1001,3,SPSA,512,0.6591796875
G0002,C01,N0,1000,1,COBYLA,256,0.63671875
G0002,C01,N0,1001,1,COBYLA,256,0.634765625
G0002,C02,N0,1000,1,COBYLA,512,0.646484375
G0002,C02,N0,1001,1,COBYLA,512,0.6402994791666666
G0002,C03,N0,1000,1,SPSA,256,0.6614583333333334
G0002,C03,N0,1001,1,SPSA,256,0.6494140625
G0002,C04,N0,1000,1,SPSA,512,0.6595052083333334
G0002,C04,N0,1001,1,SPSA,512,0.6569010416666666
G0002,C05,N0,1000,2,COBYLA,256,0.6673177083333334
G0002,C05,N0,1001,2,COBYLA,256,0.630859375
G0002,C06,N0,1000,2,COBYLA,512,0.6761067708333334
G0002,C06,N0,1001,2,COBYLA,512,0.6486002604166666
G0002,C07,N0,1000,2,SPSA,256,0.6848958333333334
G0002,C07,N0,1001,2,SPSA,256,0.6546223958333334
G0002,C08,N0,1000,2,SPSA,512,0.6829427083333334
G0002,C08,N0,1001,2,SPSA,512,0.6536458333333334
G0002,C09,N0,1000,3,COBYLA,256,0.6728515625
G0002,C09,N0,1001,3,COBYLA,256,0.6451822916666666
G0002,C10,N0,1000,3,COBYLA,512,0.6871744791666666
G0002,C10,N0,1001,3,COBYLA,512,0.6546223958333334
G0002,C11,N0,1000,3,SPSA,256,0.677734375
G0002,C11,N0,1001,3,SPSA,256,0.6614583333333334
G0002,C12,N0,1000,3,SPSA,512,0.70068359375
G0002,C12,N0,1001,3,SPSA,512,0.6541341145833334
G0003,C01,N0,1000,1,COBYLA,256,0.646484375
G0003,C01,N0,1001,1,COBYLA,256,0.6188151041666666
G0003,C02,N0,1000,1,COBYLA,512,0.72802734375
G0003,C02,N0,1001,1,COBYLA,512,0.7294921875
G0003,C03,N0,1000,1,SPSA,256,0.6650390625
G0003,C03,N0,1001,1,SPSA,256,0.7220052083333334
G0003,C04,N0,1000,1,SPSA,512,0.7223307291666666
G0003,C04,N0,1001,1,SPSA,512,0.7286783854166666
G0003,C05,N0,1000,2,COBYLA,256,0.6871744791666666
