graph_id,split
G0001,train
G0002,train
G0003,validation
G0004,train
G0005,train
G0006,train
G0007,train
G0008,train
G0009,train
G0010,test
G0011,train
G0012,train
G0013,train
G0014,train
G0015,train
G0016,validation
G0017,train
G0018,train
G0019,train
G0020,validation
G0021,train
G0022,train
G0023,train
G0024,validation
G0025,train
G0026,test
G0027,train
G0028,test
G0029,test
G0030,train
G0031,train
G0032,train
G0033,train
G0034,train
G0035,train
G0036,train
G0037,train
G0038,train
G0039,validation
G0040,train
G0041,train
G0042,test
G0043,train
G0044,train
G0045,train
G0046,validation
G0047,train
G0048,test
G0049,test
G0050,test
G0051,train
G0052,train
G0053,train
G0054,train
G0055,train
G0056,train
G0057,validation
G0058,train
G0059,train
G0060,train
G0061,train
G0062,train
G0063,train
G0064,train
G0065,train
G0066,validation
G0067,train
G0068,test
G0069,validation
G0070,test
G0071,train
G0072,validation
G0073,train
G0074,validation
G0075,train
G0076,train
G0077,train
G0078,train
G0079,train
G0080,train
G0081,test
G0082,test
G0083,test
G0084,validation
G0085,train
G0086,train
G0087,test
G0088,train
G0089,validation
