expected_cut,best_sampled_cut,optimizer,depth,noise_condition,optimizer_evaluations,circuit_executions,total_executed_shots,two_qubit_gates,circuit_depth,simulator_runtime_seconds,optimal_parameters,experiment_id,graph_id,graph_family,num_nodes,num_edges,graph_seed,config_id,shots_per_circuit,exact_optimum,run_seed,schema_version,expected_approximation_ratio,best_sampled_approximation_ratio,run_status,failure_reason
6.19140625,10,COBYLA,1,N0,28,29,7424,12,9,0.4144802390001132,"(2.571911315930139, 0.7021838283240782)",G0001_C01_N0_S1000,G0001,erdos_renyi,10,12,10000,C01,256,10,1000,1.0,0.619140625,1.0,success,
6.3984375,10,COBYLA,1,N0,27,28,7168,12,9,0.2036122960000739,"(2.399760218198843, 0.5280927795396901)",G0001_C01_N0_S1001,G0001,erdos_renyi,10,12,10000,C01,256,10,1001,1.0,0.63984375,1.0,success,
6.59765625,10,COBYLA,1,N0,31,32,16384,12,9,0.2925975729999663,"(2.39823335692199, 0.45944896792997253)",G0001_C02_N0_S1000,G0001,erdos_renyi,10,12,10000,C02,512,10,1000,1.0,0.659765625,1.0,success,
6.373046875,10,COBYLA,1,N0,27,28,14336,12,9,0.2810974179999448,"(2.090167101338823, 0.3859845814578535)",G0001_C02_N0_S1001,G0001,erdos_renyi,10,12,10000,C02,512,10,1001,1.0,0.6373046875,1.0,success,
6.296875,10,SPSA,1,N0,79,80,20480,12,9,0.4630708449999474,"(1.799791940575344, 0.3887379602600877)",G0001_C03_N0_S1000,G0001,erdos_renyi,10,12,10000,C03,256,10,1000,1.0,0.6296875,1.0,success,
6.4296875,10,SPSA,1,N0,79,80,20480,12,9,0.4471407649998582,"(2.264008024871755, 0.4437104330603415)",G0001_C03_N0_S1001,G0001,erdos_renyi,10,12,10000,C03,256,10,1001,1.0,0.64296875,1.0,success,
6.42578125,10,SPSA,1,N0,79,80,40960,12,9,0.6388234600001397,"(1.9616991983870595, 0.4520388153252217)",G0001_C04_N0_S1000,G0001,erdos_renyi,10,12,10000,C04,512,10,1000,1.0,0.642578125,1.0,success,
6.32421875,10,SPSA,1,N0,79,80,40960,12,9,0.6474409809998178,"(2.2631066631662025, 0.5092606427907661)",G0001_C04_N0_S1001,G0001,erdos_renyi,10,12,10000,C04,512,10,1001,1.0,0.632421875,1.0,success,
6.60546875,10,COBYLA,2,N0,41,42,10752,24,14,1.9142532280000069,"(1.6223100378661666, 1.949548267837853, 0.5367522584182681, 0.26117552070694044)",G0001_C05_N0_S1000,G0001,erdos_renyi,10,12,10000,C05,256,10,1000,1.0,0.660546875,1.0,success,
6.87890625,10,COBYLA,2,N0,40,41,10496,24,14,0.3359072550001656,"(1.5334660486404486, -0.3731021643179699, 1.0271732743867004, 0.963240198642843)",G0001_C05_N0_S1001,G0001,erdos_renyi,10,12,10000,C05,256,10,1001,1.0,0.687890625,1.0,success,
6.435546875,10,COBYLA,2,N0,37,38,19456,24,14,1.385307173000001,"(1.6281942994293197, 1.9924384212891217, 0.7231076311891622, 0.29616259601073835)",G0001_C06_N0_S1000,G0001,erdos_renyi,10,12,10000,C06,512,10,1000,1.0,0.6435546875,1.0,success,
6.279296875,10,COBYLA,2,N0,38,39,19968,24,14,0.4258214920000682,"(2.0359499561859686, 0.1379625357575181, 0.8227430360252068, 1.3121578956064652)",G0001_C06_N0_S1001,G0001,erdos_renyi,10,12,10000,C06,512,10,1001,1.0,0.6279296875,1.0,success,
7.76171875,10,SPSA,2,N0,79,80,20480,24,14,1.3627915829999893,"(1.0195948219047806, 1.630798862167741, 0.317098332144351, 0.2946372146439121)",G0001_C07_N0_S1000,G0001,erdos_renyi,10,12,10000,C07,256,10,1000,1.0,0.776171875,1.0,success,
6.32421875,9,SPSA,2,N0,79,80,20480,24,14,0.5174690300000293,"(2.289837825728687, -0.08424776827868086, 0.37134024887111083, 1.739397998803323)",G0001_C07_N0_S1001,G0001,erdos_renyi,10,12,10000,C07,256,10,1001,1.0,0.632421875,0.9,success,
6.939453125,10,SPSA,2,N0,79,80,40960,24,14,0.6468385199998465,"(1.549528981912293, 2.017689379948363, 0.5105834370885295, 0.5817452166681135)",G0001_C08_N0_S1000,G0001,erdos_renyi,10,12,10000,C08,512,10,1000,1.0,0.6939453125,1.0,success,
6.408203125,10,SPSA,2,N0,79,80,40960,24,14,0.8616557390000708,"(2.2700940232274913, -0.10241614744722953, 0.45579071780040553, 1.6621097871753052)",G0001_C08_N0_S1001,G0001,erdos_renyi,10,12,10000,C08,512,10,1001,1.0,0.6408203125,1.0,success,
6.74609375,10,COBYLA,3,N0,50,51,13056,36,19,0.4657008440001391,"(1.5198029985273882, 2.4674410940655567, 1.9960100193479837, 0.541254372715743, 0.7093117189479758, 0.20502003957545087)",G0001_C09_N0_S1000,G0001,erdos_renyi,10,12,10000,C09,256,10,1000,1.0,0.674609375,1.0,success,
6.19140625,10,COBYLA,3,N0,53,54,13824,36,19,1.2211459860000105,"(1.9369671773287052, 0.023575365384871212, 0.5923474767626072, 1.3522931859920246, 0.12254161505440812, 0.3174604395167424)",G0001_C09_N0_S1001,G0001,erdos_renyi,10,12,10000,C09,256,10,1001,1.0,0.619140625,1.0,success,
6.39453125,10,COBYLA,3,N0,54,55,28160,36,19,0.6196662710001419,"(1.639054312573697, 2.396978391418495, 2.004704962739324, 0.3368586989672444, 0.8340743452985987, 0.27704300027963114)",G0001_C10_N0_S1000,G0001,erdos_renyi,10,12,10000,C10,512,10,1000,1.0,0.639453125,1.0,success,
