expected_cut,best_sampled_cut,optimizer,depth,shots,noise_condition,optimizer_evaluations,two_qubit_gates,circuit_depth,simulator_runtime_seconds,optimal_parameters,run_seed,graph_id,graph_family,num_nodes,num_edges,graph_seed,config_id,exact_optimum,expected_approximation_ratio,best_sampled_approximation_ratio
6.4140625,10,COBYLA,1,256,N0,24,0,9,3.1820519999600947,"(2.147759306345837, 1.9176103268723237)",20000,G0001,erdos_renyi,10,12,10000,C01,10,0.64140625,1.0
8.048828125,10,COBYLA,1,512,N0,32,0,9,4.094955599983223,"(0.5871260704124425, 1.9624153612909732)",20001,G0001,erdos_renyi,10,12,10000,C02,10,0.8048828125,1.0
6.59765625,10,SPSA,1,256,N0,79,0,9,14.479236699989997,"(2.1806500000854756, 0.4919407550026298)",20002,G0001,erdos_renyi,10,12,10000,C03,10,0.659765625,1.0
8.125,10,SPSA,1,512,N0,79,0,9,16.955661799991503,"(0.6489298689929021, 0.3611717350124732)",20003,G0001,erdos_renyi,10,12,10000,C04,10,0.8125,1.0
6.75,10,COBYLA,2,256,N0,37,0,14,8.085456100001466,"(2.0794485029808536, 2.02316270354187, 0.021873942331161772, 0.9827938855362112)",20004,G0001,erdos_renyi,10,12,10000,C05,10,0.675,1.0
8.236328125,10,COBYLA,2,512,N0,50,0,14,10.724104399967473,"(0.9443762036957873, 1.2293207050322223, 1.9575771858076163, 1.8097124733523715)",20005,G0001,erdos_renyi,10,12,10000,C06,10,0.8236328125,1.0
8.703125,10,SPSA,2,256,N0,79,0,14,16.394579499959946,"(0.5464229862478893, 1.152896317245456, 0.43455635928364855, 1.8292068729043824)",20006,G0001,erdos_renyi,10,12,10000,C07,10,0.8703125,1.0
6.76953125,10,SPSA,2,512,N0,79,0,14,16.720208299986552,"(2.668845884083391, 0.8764926094069471, 1.9247318240153208, 1.2632781257269314)",20007,G0001,erdos_renyi,10,12,10000,C08,10,0.676953125,1.0
8.1171875,10,COBYLA,3,256,N0,53,0,19,11.522329200000968,"(3.161661115361673, 2.596863191865527, 2.4573037140281158, 0.7270500018701754, 1.2821160791829622, 1.6324814793193816)",20008,G0001,erdos_renyi,10,12,10000,C09,10,0.81171875,1.0
8.1953125,10,COBYLA,3,512,N0,60,0,19,13.320277000020724,"(0.9602800418974373, 1.2426922359086765, 1.5987193103979467, 0.40844647864256883, 0.161235837487356, 0.11253233900399577)",20009,G0001,erdos_renyi,10,12,10000,C10,10,0.81953125,1.0
8.22265625,10,SPSA,3,256,N0,79,0,19,17.8524105999968,"(2.8701914422777977, -0.16700914121045346, 2.836003986253699, 1.2990050581432593, 0.33630859696619325, 1.2404068625957985)",20010,G0001,erdos_renyi,10,12,10000,C11,10,0.822265625,1.0
8.517578125,10,SPSA,3,512,N0,79,0,19,17.543402300041635,"(-0.6788124338860951, 0.33550375270194827, 0.9277513203163866, 0.5604328065866105, 0.6399268053516233, 0.07914948074942602)",20011,G0001,erdos_renyi,10,12,10000,C12,10,0.8517578125,1.0
